laag	vaknr	vaknaam	vakafkorting	nr	periode	leerstofomschrijving	weging VD	afname	afwijkende hulpmiddelen / bijzonderheden	duur	SE?	weging SE	herkans-baar?	verplichte SE-domeinen
4A	110	Scheikunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
5A	110	Scheikunde	SK	1	1	H7 en H8 - Duurzaamheidheid, zuren	2	tt	0	100	Ja	2	Ja	A, C9, E3, F4, F5, G4, G5
5A	110	Scheikunde	SK	2	2	H8, H9, H11 - Zzuren, basen, redoxreacties	2	tt	0	100	Ja	2	Ja	C9, C10, D2, E3, F4
5A	110	Scheikunde	SK	3	3	H10, H12 - Analyse, molecuulbouw	2	tt	0	100	Ja	2	Ja	C6, C7, C8, D4, E5
5A	110	Scheikunde	SK	4	4	H13 en H14 - Kunststoffen, nieuwe materialen	2	tt	0	100	Nee	0	Nee	0
5A	110	Scheikunde	SK	5	4	Onderzoek	2	po	0	0	Ja	1	Nee	A, D2, E4, E5, F4, F5, G4
5A	110	Scheikunde	SK	6	0	0	0	0	0	0	0	0	0	0
5A	110	Scheikunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
6A	110	Scheikunde	SK	1	1	H8, H9, H11, H17, H18 - Redoxreacties, zuren en basen, H1 t/m 6: Basiskennis	0	tt	0	100	Ja	2	Ja	C9, C10, D2, E3, F4
6A	110	Scheikunde	SK	2	2	H6, H12, H13, H16 - Molecuulbouw en koolstofchemie, H1 t/m 6: Basiskennis	0	tt	0	100	Ja	2	Ja	E3, E4, E5
6A	110	Scheikunde	SK	3	3	H7, H10.3, H10.4, H10.5, H14, H15 - Groene chemie, nieuwe materialen, analyse, H1 t/m 6: Basiskennis	0	tt	0	100	Ja	2	Ja	C8, C9, C10, E3, F4, F5, G4, G5 
6A	110	Scheikunde	SK	4	0	0	0	0	0	0	0	0	0	0
6A	110	Scheikunde	SK	5	0	0	0	0	0	0	0	0	0	0
6A	110	Scheikunde	SK	6	0	0	0	0	0	0	0	0	0	0
6A	110	Scheikunde	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4M	120	Biologie	BIO	1	1	Thema 1: Stofwisseling (deel 4A), Thema 2: Planten (deel 4A)	0	tt	0	50	Ja	1	Ja	BI/K/4, BI/K/6, BI/K/9
4M	120	Biologie	BIO	2	1	Thema 3: Ecologie (deel 4A), Thema 4: Mens en milieu (deel 4A), Thema 2: Ordening (deel 3A) 	0	tt	0	100	Ja	3	Ja	BI/K/4, BI/K/5, BI/K/6, BI/K/7 
4M	120	Biologie	BIO	3	2	Thema 5: Voeding en vertering (deel 4B), Thema 4: Erfelijkheid (deel 3A), Thema 8: Stevigheid en beweging (deel 3B), Thema 9: Gedrag (deel 3B) 	0	tt	0	100	Ja	3	Ja	BI/V/2, BI/K/8, BI/K/9, BI/K/12,  BI/K/13
4M	120	Biologie	BIO	4	3	Thema 6: Gaswisseling (deel 4B), Thema 7: Transport (deel 4B), Thema 8: Opslag, uitscheiding en bescherming (deel 4B), Thema 6: Regeling (deel 3B), Thema 7: Zintuiglijke waarneming (deel 3B)	0	tt	0	100	Ja	3	Ja	BI/K/9, BI/K/10, BI/K/11
4M	120	Biologie	BIO	5	3	Opdracht: keuzeonderwerp	0	po	0	100	Ja	2	Nee	BI/K/1, BI/K/2, BI/K/3, BI/V/3
4M	120	Biologie	BIO	6	0	0	0	0	0	0	0	0	0	0
4M	120	Biologie	0	7	0	0	0	0	0	0	0	0	0	0
4H	120	Biologie	BIO	1	1	Hoofdstuk 3: Cellen, Hoofdstuk 7: Onderzoek doen	3	tt	0	100	Ja	2	Ja	B1, B2, C2 D3
4H	120	Biologie	BIO	2	2	Hoofdstuk 5 Voeding en energie Hoofdstuk 6 Voeding en vertering	3	tt	0	50	Nee	1	0	0
4H	120	Biologie	BIO	3	3	Opdracht: keuzeonderwerp	2	po	0	0	Ja	1	Nee	A10, A11, A12, A13 t/m A16
4H	120	Biologie	BIO	4	3	Hoofdstuk 1: Gedrag, Hoofdstuk 4: Voortplanting en seksualiteit 	3	tt	0	100	Ja	2	Ja	D2 E2, E3
4H	120	Biologie	BIO	5	4	Hoofdstuk 2: Soorten en relaties, Hoofdstuk 6: par 6.1, Hoofdstuk 8: Ecosysteem en evenwicht	3	tt	0	100	Ja	2	Ja	B3, C2, C3, F3
4H	120	Biologie	BIO	6	0	0	0	0	0	0	0	0	0	0
4H	120	Biologie	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
5H	120	Biologie	BIO	1	1	Nectar HAVO 5: Hoofdstuk 9: Erfelijkheid & Hoofdstuk 10 Evolutie	0	tt	0	100	Ja	2	Ja	C2, D1, E1, E4, F1, F2, F3
5H	120	Biologie	BIO	2	2	Nectar HAVO 5: Hoofdstuk 11: Gezondheid & Hoofdstuk 12: Transport	0	tt	0	100	Ja	2	Ja	B2, B3, B4, B5
5H	120	Biologie	BIO	3	3	Nectar HAVO 5: Hoofdstuk 13: Gaswisseling en uitscheiding & Hoofdstuk 14: Reageren	0	tt	0	100	Ja	2	Ja	B2, B3, B4, B5, B6, B7
5H	120	Biologie	BIO	4	0	0	0	0	0	0	0	0	0	0
5H	120	Biologie	BIO	5	0	0	0	0	0	0	0	0	0	0
5H	120	Biologie	BIO	6	0	0	0	0	0	0	0	0	0	0
5H	120	Biologie	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4A	120	Biologie	BIO	1	1	Hoofdstuk 4: Cel en leven	2	tt	0	50	Nee	0	0	0
4A	120	Biologie	BIO	2	1	Hoofdstuk 6: Voortplanting	2	tt	0	50	Nee	0	0	0
4A	120	Biologie	BIO	3	2	Hoofdstuk 7: Erfelijkheid en Hoofdstuk 8: Evolutie	2	tt	0	50	Nee	0	0	0
4A	120	Biologie	BIO	4	3	PO: Ecologische opdracht	2	po	0	nvt	Nee	0	0	0
4A	120	Biologie	BIO	5	3	Hoofdstuk 1: Gedrag en Hoofdstuk 5: Onderzoek	3	tt	0	100	Nee	0	0	0
4A	120	Biologie	BIO	6	4	Hoofdstuk 2: Soorten en relaties en Hoofdstuk 8: Ecosystemen	2	tt	0	50	Nee	0	0	0
4A	120	Biologie	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets. 	0	0	0	0	0	0	0	0
5A	120	Biologie	BIO	1	1	Nectar Atheneum 5: Hoofdstuk 9 Bloedsomloop, Hoofdstuk 10 Uitscheiding	3	tt	0	100	Ja	3	Ja	B2, B3, B4, B5
5A	120	Biologie	BIO	2	2	Nectar Atheneum 5: Hoofdstuk 11 Voeding en vertering, Hoofdstuk 12 Afweer	3	tt	0	100	Ja	3	Ja	B2, B3, B4, B5
5A	120	Biologie	BIO	3	3	Nectar Atheneum 5: Hoofdstuk 13 Hormonen, Hoofdstuk 14 Zenuwstelsel. Nectar Atheneum 4: Hoofdstuk 6 Voortplanting	3	tt	0	100	Ja	3	Ja	B2, B3, B4 D2, D4, E3
5A	120	Biologie	BIO	4	4	Nectar Atheneum 5: Hoofdstuk 15 Waarnemen, Hoofdstuk 16 Sport	3	tt	0	100	Ja	3	Ja	B2, B4, B6, B7
5A	120	Biologie	BIO	5	0	0	0	0	0	0	0	0	0	0
5A	120	Biologie	BIO	6	0	0	0	0	0	0	0	0	0	0
5A	120	Biologie	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
6A	120	Biologie	BIO	1	1	Nectar Atheneum 6: Hoofdstuk 17 Stedelijke ecosystemen, Hoofdstuk 18 Wereldwijde kringlopen. Nectar Atheneum 4: Hoofdstuk 2 Soorten en populaties, Hoofdstuk 3 Ecosystemen	0	tt	0	100	Ja	3	Ja	B8, C2, C3, D5
6A	120	Biologie	BIO	2	2	Nectar Atheneum 6: Hoofdstuk 19 DNA, Hoofdstuk 20 Eiwit. Nectar Atheneum 4: Hoofdstuk 4 Cel en leven, Hoofdstuk 5: Onderzoek	0	tt	0	100	Ja	3	Ja	B1, B2, B3, B4, C1, D1, E1, E2 
6A	120	Biologie	BIO	3	3	Nectar Atheneum 6: Hoofdstuk 21 Planten, Hoofdstuk 22 Terug naar de toekomst. Nectar Atheneum 5: Hoofdstuk 16 Sport par 3. Nectar Atheneum 4: Hoofdstuk 1 Gedrag, Hoofdstuk 7 Erfelijkheid, Hoofdstuk 8 Evolutie par 2,3,4 en 5	0	tt	0	100	Ja	3	Ja	B3, C2, D3, F1, F2, F3, F4
6A	120	Biologie	BIO	4	0	0	0	0	0	0	0	0	0	0
6A	120	Biologie	BIO	5	0	0	0	0	0	0	0	0	0	0
6A	120	Biologie	BIO	6	0	0	0	0	0	0	0	0	0	0
6A	120	Biologie	0	7	0	De BINAS HAVO/VWO is bij alle schriftelijke toetsen een toegestaan hulpmiddel, tenzij anders vermeld bij de toets.	0	0	0	0	0	0	0	0
4M	160	Economie	EC	1	1	Boek Pincode: hoofdstuk 1 en 2 Consumptie	0	tt	0	100	Ja	1	Ja	EC/K/1, EC/K/2, EC/K/3, EC/K/4A, EC/K/4B, EC/V/1, EC/V/2
4M	160	Economie	EC	2	2	Boek Pincode: hoofdstuk 3 en 4 Arbeid	0	tt	0	100	Ja	1	Ja	EC/K/1, EC/K/2, EC/K/3, EC/K/5A, EC/K/5B, EC/K/8    EC/V/1, EC/V/2
4M	160	Economie	EC	3	3	Boek Pincode: hoofdstuk 5 t/m 8 Overheid en Internationale ontwikkelingen	0	tt	0	100	Ja	1	Ja	EC/K/1, EC/K/2, EC/K/6, EC/K/7, EC/V/1, EC/V/2
4M	160	Economie	EC	4	3	Opdracht: Kopen/huren/verzekeren	0	po	0	0	Ja	1	nee	EC/K/4B
4M	160	Economie	EC	5	0	0	0	0	0	0	0	0	0	0
4M	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
4M	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
4H	160	Economie	EC	1	1	Lesbrieven: Crisis en Vervoer	2	tt	0	100	Nee	0	Nee	0
4H	160	Economie	EC	2	2	Lesbrieven: Crisis en Vervoer	2	tt	0	100	Ja	1	Ja	A, D, F, G 
4H	160	Economie	EC	3	3	Opdracht: keuzeonderwerp	1	po	0	100	Ja	1	Nee	K
4H	160	Economie	EC	4	3	Lesbrief Jong & Oud	2	tt	0	100	Nee	0	Nee	0
4H	160	Economie	EC	5	4	Lesbrief Jong & Oud	2	tt	0	100	Ja	2	Ja	A, E, F, G, H, I
4H	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
4H	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
5H	160	Economie	EC	1	1	Lesbrieven: Verdienen & uitgeven. Werk. 	0	tt	0	100	Ja	2	Ja	A, H, I
5H	160	Economie	EC	2	2	Lesbrieven: Markt & overheid. Vervoer. Verdienen & uitgeven. 	0	tt	0	100	Ja	2	Ja	A, D, F, G, H, I
5H	160	Economie	EC	3	3	Lesbrieven: Europa. Jong & oud. Vervoer. Markt & overheid. Verdienen & uitgeven. 	0	tt	0	100	Ja	2	Ja	A, D, E, F, G, H, I, J
5H	160	Economie	EC	4	0	0	0	0	0	0	0	0	0	0
5H	160	Economie	EC	5	0	0	0	0	0	0	0	0	0	0
5H	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
5H	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
4A	160	Economie	EC	1	1	Lesbrief Vraag en Aanbod	1	tt	0	100	Nee	0	Nee	0
4A	160	Economie	EC	2	2	Lesbrieven gedragseconomie + vraag en aanbod	2	tt	0	100	Nee	0	Nee	0
4A	160	Economie	EC	3	3	Lesbrief Levensloop tot (Zie studiewijzer)	1	tt	0	50	Nee	0	Nee	0
4A	160	Economie	EC	4	4	Lesbrief Levensloop	2	tt	0	100	Nee	0	Nee	0
4A	160	Economie	EC	5	0	0	0	0	0	0	0	0	0	0
4A	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
4A	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
5A	160	Economie	EC	1	1	Lesbrieven: Levensloop, Arbeid, Vraag en aanbod. 	2	tt	0	100	Ja	2	Ja	A, B, C, D, E, F, G, H, I
5A	160	Economie	EC	2	2	Lesbrieven: Marktgedrag, Vraag en aanbod.	2	tt	0	100	Nee	0	Nee	A, D, E, F, G, H
5A	160	Economie	EC	3	3	Lesbrief Monetaire Zaken	2	tt	0	100	Ja	1	Ja	I, K
5A	160	Economie	EC	4	3	Opdracht: keuzeonderwerp	1	po	0	0	Ja	1	Nee	J
5A	160	Economie	EC	5	4	Lesbrieven: Marktgedrag, Mobiliteit.	2	tt	0	100	Ja	2	Ja	A, B, C, D, E, F, G, H
5A	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
5A	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
6A	160	Economie	EC	1	1	Economische crisis	0	tt	0	100	Ja	2	Ja	I
6A	160	Economie	EC	2	2	Wereldeconomie	0	tt	0	100	Ja	2	Ja	H
6A	160	Economie	EC	3	3	Alle lesbrieven uit atheneum 4, 5 en 6	0	tt	0	100	Ja	2	Ja	A, B, C, D, E, F, G, H, I
6A	160	Economie	EC	4	0	0	0	0	0	0	0	0	0	0
6A	160	Economie	EC	5	0	0	0	0	0	0	0	0	0	0
6A	160	Economie	EC	6	0	0	0	0	0	0	0	0	0	0
6A	160	Economie	0	7	0	0	0	0	0	0	0	0	0	0
4M	172	BTE / BHA	BTE/BHA	1	1	Thematische praktische opdracht 1	0	po	0	0	Ja	3	Nee	Zie opmerkingen
4M	172	BTE / BHA	BTE/BHA	2	1	Expo Beeldende vakken Hoofdstuk 1 en 2	0	tt	0	50	Ja	1	Ja	K8
4M	172	BTE / BHA	BTE/BHA	3	2	"Thematische praktische opdracht 2 Stappenplan
"	0	po	0	0	Ja	3	Nee	Zie opmerkingen
4M	172	BTE / BHA	BTE/BHA	4	2	Expo Beeldende vakken Hoofdstuk 3, 3.1-3.4	0	tt	0	50	Ja	1	Ja	K8
4M	172	BTE / BHA	BTE/BHA	5	3	Thematische praktische opdracht 3 (proefexamen)	0	po	0	0	Ja	3	Nee	Zie opmerkingen
4M	172	BTE / BHA	BTE/BHA	6	3	Expo Beeldende vakken Hoofdstuk 3,  3.5-3.8	0	tt	0	50	Ja	1	Ja	K8
4M	172	BTE / BHA	0	7	0	"Stappenplan: onderzoek probleemstelling, oriëntatie beeldend onderzoek, uitvoering, reflectie, presentatie.

"	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	1	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	2	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	3	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	4	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	5	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	BTE/BHA	6	0	0	0	0	0	0	0	0	0	0
4H	172	BTE / BHA	0	7	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	1	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	2	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	3	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	4	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	5	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	BTE/BHA	6	0	0	0	0	0	0	0	0	0	0
5H	172	BTE / BHA	0	7	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	1	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	2	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	3	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	4	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	5	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	BTE/BHA	6	0	0	0	0	0	0	0	0	0	0
4A	172	BTE / BHA	0	7	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	1	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	2	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	3	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	4	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	5	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	BTE/BHA	6	0	0	0	0	0	0	0	0	0	0
5A	172	BTE / BHA	0	7	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	1	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	2	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	3	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	4	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	5	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	BTE/BHA	6	0	0	0	0	0	0	0	0	0	0
6A	172	BTE / BHA	0	7	0	0	0	0	0	0	0	0	0	0
4M	43	Lichamelijke Opvoeding	LO	1	1	Opbouw duurloop vijverloop	0	hd	0	0	Ja	1	Nee	LO1/ K7
4M	43	Lichamelijke Opvoeding	LO	2	2	Spel	0	hd	0	0	Ja	1	Nee	LO1/ K4
4M	43	Lichamelijke Opvoeding	LO	3	3	Turnen: springen, zwaaien, draaien, rollen en/of balanceren.	0	hd	0	0	Ja	1	Nee	LO1/ K5
4M	43	Lichamelijke Opvoeding	LO	4	3	Sport Oriëntatie Keuze (SOK)	0	hd	0	0	Ja	1	Nee	LO1/ K9
4M	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
4M	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
4M	43	Lichamelijke Opvoeding	0	7	0	0	0	0	0	0	0	0	0	0
4H	43	Lichamelijke Opvoeding	LO	1	1	Duurloop training	0	hd	0	0	Nee	0	0	A, B, C, D
4H	43	Lichamelijke Opvoeding	LO	2	3	Voeding en conditie	0	hd	0	0	Nee	0	0	A, B, C, D
4H	43	Lichamelijke Opvoeding	LO	3	4	Spel	0	hd	0	0	Nee	0	0	A, B, C, D
4H	43	Lichamelijke Opvoeding	LO	4	0	0	0	0	0	0	0	0	0	0
4H	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
4H	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
4H	43	Lichamelijke Opvoeding	0	7	0	0	0	0	0	0	0	0	0	0
5H	43	Lichamelijke Opvoeding	LO	1	1	Sportoriëntatie en sportkeuze (SOK) 	0	hd	0	0	Ja	1	Nee	A, B, C, D, E
5H	43	Lichamelijke Opvoeding	LO	2	2	Sportoriëntatie en sportkeuze (SOK) 	0	hd	0	0	Ja	1	Nee	A, B, C, D, E
5H	43	Lichamelijke Opvoeding	LO	3	0	0	0	0	0	0	0	0	0	0
5H	43	Lichamelijke Opvoeding	LO	4	0	0	0	0	0	0	0	0	0	0
5H	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
5H	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
5H	43	Lichamelijke Opvoeding	0	7	0	Sportoriëntatie en sportkeuze (SOK) kan alleen afgesloten worden als er voldoende uren zijn geparticipeerd. Bij onvoldoende participatie kan geen eindbeoordeling worden gegeven. In bepaalde gevallen kan een onderdeel in de vorm van een vervangende opdracht worden herkanst. Als er aan alle verplichtingen is voldaan, wordt een V(oldaan) op de eindlijst vermeld.	0	0	0	0	0	0	0	0
4A	43	Lichamelijke Opvoeding	LO	1	1	Duurloop training. Toewerken naar Vijverloop	0	hd	0	0	Nee	0	0	A, B, C, D
4A	43	Lichamelijke Opvoeding	LO	2	2	Spel	0	hd	0	0	Nee	0	0	A, B, C, D
4A	43	Lichamelijke Opvoeding	LO	3	3	Spel	0	hd	0	0	Nee	0	0	A, B, C, D
4A	43	Lichamelijke Opvoeding	LO	4	4	Werpen	0	hd	0	0	Nee	0	0	A, B, C, D
4A	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
4A	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
4A	43	Lichamelijke Opvoeding	0	7	0	0	0	0	0	0	0	0	0	0
5A	43	Lichamelijke Opvoeding	LO	1	1	Duurloop training. Toewerken naar Vijverloop	0	hd	0	0	Nee	0	0	A, B, C, D
5A	43	Lichamelijke Opvoeding	LO	2	2	Spel	0	hd	0	0	Nee	0	0	A, B, C, D
5A	43	Lichamelijke Opvoeding	LO	3	3	Spel	0	hd	0	0	Nee	0	0	A, B, C, D
5A	43	Lichamelijke Opvoeding	LO	4	4	Werpen	0	hd	0	0	Nee	0	0	A, B, C, D
5A	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
5A	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
5A	43	Lichamelijke Opvoeding	0	7	0	0	0	0	0	0	0	0	0	0
6A	43	Lichamelijke Opvoeding	LO	1	1	Sportoriëntatie en sportkeuze (SOK) 	0	hd	0	0	Ja	1	Nee	A, B, C, D, E
6A	43	Lichamelijke Opvoeding	LO	2	2	Sportoriëntatie en sportkeuze (SOK) 	0	hd	0	0	Ja	1	Nee	A, B, C, D, E
6A	43	Lichamelijke Opvoeding	LO	3	0	0	0	0	0	0	0	0	0	0
6A	43	Lichamelijke Opvoeding	LO	4	0	0	0	0	0	0	0	0	0	0
6A	43	Lichamelijke Opvoeding	LO	5	0	0	0	0	0	0	0	0	0	0
6A	43	Lichamelijke Opvoeding	LO	6	0	0	0	0	0	0	0	0	0	0
6A	43	Lichamelijke Opvoeding	0	7	0	Sportoriëntatie en sportkeuze (SOK) kan alleen afgesloten worden als er voldoende uren zijn geparticipeerd. Bij onvoldoende participatie kan geen eindbeoordeling worden gegeven. In bepaalde gevallen kan een onderdeel in de vorm van een vervangende opdracht worden herkanst. Als er aan alle verplichtingen is voldaan, wordt een V(oldaan) op de eindlijst vermeld.	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	PWS	1	1	Het schoolexamen mavo omvat het maken van een profielwerkstuk. Het onderwerp moet betrekking hebben op het profiel. Het profielwerkstuk wordt in duo's of alleen gemaakt. Het onderwerp wordt door de leerlingen zelf aangeleverd. Alle leerlingen hebben een begeleider. 	0	hd	0	0	Ja	1	Nee	0
4M	180	Profielwerkstuk	PWS	2	2	0	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
4M	180	Profielwerkstuk	0	7	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	1	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	2	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
4H	180	Profielwerkstuk	0	7	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	PWS	1	2	Profielwerkstuk 	Nee	po	zie opmerkingen 	15 minuten mondelinge presentatie 	Ja	zie opmerkingen 	Nee	0
5H	180	Profielwerkstuk	PWS	2	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
5H	180	Profielwerkstuk	0	7	0	"Beoordeling is gebaseerd op een schriftelijk verslag en een mondelinge presentatie. Cijfer van het profielwerkstuk is onderdeel van het combinatiecijfer. Het combinatiecijfer bestaat uit de vakken Maatschappijleer, CKV en het profielwerkstuk. 

"	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	1	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	2	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
4A	180	Profielwerkstuk	0	7	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	1	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	2	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
5A	180	Profielwerkstuk	0	7	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	PWS	1	2	Profielwerkstuk 	Nee	po	zie opmerkingen 	15 minuten mondelinge presentatie 	Ja	zie opmerkingen 	Nee	0
6A	180	Profielwerkstuk	PWS	2	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	PWS	3	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	PWS	4	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	PWS	5	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	PWS	6	0	0	0	0	0	0	0	0	0	0
6A	180	Profielwerkstuk	0	7	0	"Beoordeling is gebaseerd op een schriftelijk verslag en een mondelinge presentatie. Cijfer van het profielwerkstuk is onderdeel van het combinatiecijfer. Het combinatiecijfer bestaat uit de vakken Maatschappijleer, CKV en het profielwerkstuk. 

"	0	0	0	0	0	0	0	0
4M	50	Wiskunde A	WA	1	0	0	0	0	0	0	0	0	0	0
4M	50	Wiskunde A	WA	2	0	0	0	0	0	0	0	0	0	0
4M	50	Wiskunde A	WA	3	0	0	0	0	0	0	0	0	0	0
4M	50	Wiskunde A	WA	4	0	0	0	0	0	0	0	0	0	0
4M	50	Wiskunde A	WA	5	0	0	0	0	0	0	0	0	0	0
