laag	vak	nr	per	leerstof	kerndoelen	weging	afname	samen met
3H	GS	4	3	H6 Tweede Wereldoorlog 	kerndoelen: 37, 38, 42, 43, 44, 46, 47	2	PO	0
3H	GS	5	4	H7 Koude Oorlog 	Kerndoelen: 37, 38	3	toets	0
3H	GS	6	0	0	0	0	0	0
3M	GS	1	1	                      Koude Oorlog 	Kerndoelen: 37, 38	3	PO	0
3M	GS	2	1	Koude Oorlog 	Kerndoelen: 37, 38, 46, 47	2	toets	0
3M	GS	3	2	Industriële samenleving	Kerndoelen: 37, 38, 46	3	toets	0
3M	GS	4	3	Nederland en Indonesië	Kerndoelen: 37, 38	3	toets	0
3M	GS	5	3	Verzorgingsstaat 	Kerndoelen: 37, 38, 46, 47 	2	PO	0
3M	GS	6	4	Verzorgingsstaat 	Kerndoelen: 37, 38	3	toets	0
1A	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - duurloop	1	Handelingsdeel	0
1A	LO	2	2	Spel	Spel	1	Handelingsdeel	0
1A	LO	3	3	Spel	Spel	1	Handelingsdeel	0
1A	LO	4	4	Werpen	Atletiek - werpen	1	Handelingsdeel	0
1A	LO	5	0	0	0	0	0	0
1A	LO	6	0	0	0	0	0	0
1HA	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - duurloop	1	Handelingsdeel	0
1HA	LO	2	2	Spel	Spel	1	Handelingsdeel	0
1HA	LO	3	3	Spel	Spel	1	Handelingsdeel	0
1HA	LO	4	4	Werpen	Atletiek - werpen	1	Handelingsdeel	0
1HA	LO	5	0	0	0	0	0	0
1HA	LO	6	0	0	0	0	0	0
1MH	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
1MH	LO	2	2	Spel	Spel	1	Handelingsdeel	0
1MH	LO	3	3	Spel	Spel	1	Handelingsdeel	0
1MH	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
1MH	LO	5	0	0	0	0	0	0
1MH	LO	6	0	0	0	0	0	0
2A	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
2A	LO	2	2	Spel	Spel	1	Handelingsdeel	0
2A	LO	3	3	Spel	Spel	1	Handelingsdeel	0
2A	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
2A	LO	5	0	0	0	0	0	0
2A	LO	6	0	0	0	0	0	0
2H	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
2H	LO	2	2	Spel	Spel	1	Handelingsdeel	0
2H	LO	3	3	Spel	Spel	1	Handelingsdeel	0
2H	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
2H	LO	5	0	0	0	0	0	0
2H	LO	6	0	0	0	0	0	0
2M	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
2M	LO	2	2	Spel	Spel	1	Handelingsdeel	0
2M	LO	3	3	Spel	Spel	1	Handelingsdeel	0
2M	LO	4	4	Werpen	Atletiek - werpen	1	Handelingsdeel	0
2M	LO	5	0	0	0	0	0	0
2M	LO	6	0	0	0	0	0	0
3A	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
3A	LO	2	2	Spel	Spel	1	Handelingsdeel	0
3A	LO	3	3	Spel	Spel	1	Handelingsdeel	0
3A	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
3A	LO	5	0	0	0	0	0	0
3A	LO	6	0	0	0	0	0	0
3H	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
3H	LO	2	2	Spel	Spel	1	Handelingsdeel	0
3H	LO	3	3	Spel	Spel	1	Handelingsdeel	0
3H	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
3H	LO	5	0	0	0	0	0	0
3H	LO	6	0	0	0	0	0	0
3M	LO	1	1	Duurloop training. Toewerken naar Vijverloop.	Atletiek - Duurloop	1	Handelingsdeel	0
3M	LO	2	2	Spel	Spel	1	Handelingsdeel	0
3M	LO	3	3	Spel	Spel	1	Handelingsdeel	0
3M	LO	4	4	Werpen	Atletiek - Werpen	1	Handelingsdeel	0
3M	LO	5	0	0	0	0	0	0
3M	LO	6	0	0	0	0	0	0
1A	MU	1	1	Onderwerp: Melodie	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1A	MU	2	1	Musiceervaardigheden Melodie	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1A	MU	3	2	Onderwerp: Ritme en Maat + Musiceervaardigheden	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan uitvoering van een speelstuk.	3	PO	0
1A	MU	4	3	Onderwerp: Samenklank	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1A	MU	5	3	Musiceervaardigheden Samenklank	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1A	MU	6	4	Onderwerp: Uitvoering + Vrije musiceer- of ontwerpopdracht.	Creativiteit en eigen inbreng van leerlingen: opdracht op maat en keuze uit verschillende muzikale disciplines.	3	PO	0
1HA	MU	1	1	Onderwerp: Melodie	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1HA	MU	2	1	Musiceervaardigheden Melodie	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1HA	MU	3	2	Onderwerp: Ritme en Maat + Musiceervaardigheden	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan uitvoering van een speelstuk.	3	PO	0
1HA	MU	4	3	Onderwerp: Samenklank	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1HA	MU	5	3	Musiceervaardigheden Samenklank	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1HA	MU	6	4	Onderwerp: Uitvoering + Vrije musiceer- of ontwerpopdracht.	Creativiteit en eigen inbreng van leerlingen: opdracht op maat en keuze uit verschillende muzikale disciplines.	3	PO	0
1MH	MU	1	1	Onderwerp: Melodie	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1MH	MU	2	1	Musiceervaardigheden Melodie	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1MH	MU	3	2	Onderwerp: Ritme en Maat + Musiceervaardigheden	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan uitvoering van een speelstuk.	3	PO	0
1MH	MU	4	3	Onderwerp: Samenklank	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
1MH	MU	5	3	Musiceervaardigheden Samenklank	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
1MH	MU	6	4	Onderwerp: Uitvoering + Vrije musiceer- of ontwerpopdracht.	Creativiteit en eigen inbreng van leerlingen: opdracht op maat en keuze uit verschillende muzikale disciplines.	3	PO	0
2A	MU	1	1	Onderwerp: Love songs	Muziektheorie, luistervaardigheid, notatie en instrumenten aan de hand van muziekstijlen en maatschappelijke stromingen.	1	Toets	0
2A	MU	2	1	Musiceervaardigheden Love songs	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
2A	MU	3	2	Onderwerp: Dance + Musiceervaardigheden	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan uitvoering van een speelstuk. 	3	PO	0
2A	MU	4	3	Onderwerp: Festivals, betekenis van muziek	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
2A	MU	5	3	Musiceervaardigheden Festivals	Uitvoeren van een speelstuk op eigen individueel niveau aan de hand van improvisatie.	2	PO	0
2A	MU	6	4	Onderwerp: Media	Creativiteit en eigen inbreng van leerlingen: opdracht op maat en keuze uit verschillende muzikale disciplines. Muziek en media: YouTube, talent-shows op tv., betekenis van muziek.	3	PO	0
2H	MU	1	1	Onderwerp: Love songs	Muziektheorie, luistervaardigheid, notatie en instrumenten aan de hand van muziekstijlen en maatschappelijke stromingen.	1	Toets	0
2H	MU	2	1	Musiceervaardigheden Love songs	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
2H	MU	3	2	Onderwerp: Dance + Musiceervaardigheden	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan uitvoering van een speelstuk. 	3	PO	0
2H	MU	4	3	Onderwerp: Festivals, betekenis van muziek	Muziektheorie, luistervaardigheid, notatie en instrumenten.	1	Toets	0
2H	MU	5	3	Musiceervaardigheden Festivals	Uitvoeren van een speelstuk op eigen individueel niveau aan de hand van improvisatie.	2	PO	0
2H	MU	6	4	Onderwerp: Media	Creativiteit en eigen inbreng van leerlingen: opdracht op maat en keuze uit verschillende muzikale disciplines. Muziek en media: YouTube, talent-shows op tv., betekenis van muziek.	3	PO	0
2M	MU	1	1	0	0	0	0	0
2M	MU	2	0	0	0	0	0	0
2M	MU	3	0	0	0	0	0	0
2M	MU	4	0	0	0	0	0	0
2M	MU	5	0	0	0	0	0	0
2M	MU	6	0	0	0	0	0	0
3A	MU	1	1	0	0	0	0	0
3A	MU	2	0	0	0	0	0	0
3A	MU	3	0	0	0	0	0	0
3A	MU	4	0	0	0	0	0	0
3A	MU	5	0	0	0	0	0	0
3A	MU	6	0	0	0	0	0	0
3H	MU	1	1	Onderwerp: Klassiekers	Muziektheorie, luistervaardigheid, notatie en instrumenten aan de hand van klassiekers en hun kenmerken.	1	Toets	0
3H	MU	2	1	Musiceervaardigheden Klassiekers	Uitvoeren van een speelstuk op eigen individueel niveau (mogelijkheid tot differentiatie)	2	PO	0
3H	MU	3	2	Onderwerp: Underground 	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan analyse van een Underground muziekstuk. 	1	Toets	0
3H	MU	4	3	Onderwerp: Mainstreaum	Muziektheorie, luistervaardigheid, ritme-trainer, notatie en instrumenten gekoppeld aan analyse van een voorbeeld van Mainstream muziek uit de actualiteit.	1	Toets	0
3H	MU	5	3	Onderwerp: Fusion, beinvloeding van stijlen door andere stijlen.	Het verwerken van muzikale kenmerken aan de hand van Fusion voorbeelden in een levendige presentatie.	2	PO	0
3H	MU	6	4	Musiceervaardigheden Fusion	Creativiteit en eigen inbreng van leerlingen: opdracht over Fusion van verschillende stijlen.	3	PO	0
3M	MU	1	1	0	0	0	0	0
3M	MU	2	0	0	0	0	0	0
3M	MU	3	0	0	0	0	0	0
3M	MU	4	0	0	0	0	0	0
3M	MU	5	0	0	0	0	0	0
3M	MU	6	0	0	0	0	0	0
1A	NAT	1	1	0	0	0	0	0
1A	NAT	2	0	0	0	0	0	0
1A	NAT	3	0	0	0	0	0	0
1A	NAT	4	0	0	0	0	0	0
1A	NAT	5	0	0	0	0	0	0
1A	NAT	6	0	0	0	0	0	0
1HA	NAT	1	1	0	0	0	0	0
1HA	NAT	2	0	0	0	0	0	0
1HA	NAT	3	0	0	0	0	0	0
1HA	NAT	4	0	0	0	0	0	0
1HA	NAT	5	0	0	0	0	0	0
1HA	NAT	6	0	0	0	0	0	0
1MH	NAT	1	1	0	0	0	0	0
1MH	NAT	2	0	0	0	0	0	0
1MH	NAT	3	0	0	0	0	0	0
1MH	NAT	4	0	0	0	0	0	0
1MH	NAT	5	0	0	0	0	0	0
1MH	NAT	6	0	0	0	0	0	0
2A	NAT	1	1	Licht	D28 ,D29, D31, D32	1	toets	0
2A	NAT	2	2	Beweging	D32, D35	1	PO	0
2A	NAT	3	2	Stoffen	D32, D33	1	toets	0
2A	NAT	4	3	Elektriciteit	D31, D32	1	toets	0
2A	NAT	5	4	Warmte	D30, D32	1	PO	0
2A	NAT	6	4	Heelal	D32	1	toets	0
2H	NAT	1	1	Licht	D28 ,D29, D31, D32	1	toets	0
2H	NAT	2	2	Beweging	D32, D35	1	toets	0
2H	NAT	3	2	Stoffen	D32, D33	1	toets	0
2H	NAT	4	3	Elektriciteit	D31, D32	1	toets	0
2H	NAT	5	4	Warmte	D30, D32	1	toets	0
2H	NAT	6	4	Heelal	D32	1	toets	0
2M	NAT	1	1	Licht	D28 ,D29, D31, D32	1	toets	0
2M	NAT	2	2	Beweging	D32, D35	1	toets	0
2M	NAT	3	2	Stoffen	D32, D33	1	toets	0
2M	NAT	4	3	Elektriciteit	D31, D32	1	toets	0
2M	NAT	5	4	Warmte	D30, D32	1	toets	0
2M	NAT	6	4	Heelal	D32	1	toets	0
3A	NAT	1	1	Geluid	D28, D34	1	toets	0
3A	NAT	2	2	Kracht en beweging	D28, D29, D32, D33, D35	1	toets	0
3A	NAT	3	2	Energie	D28, D30, D31, D32, D33	1	toets	0
3A	NAT	4	3	Elektriciteit	D28, D32, D35	1	toets	0
3A	NAT	5	4	Straling	D28, D29, D32	1	toets	0
3A	NAT	6	4	Materialen	D28, D32	1	toets	0
3H	NAT	1	1	Geluid	D28, D34	1	toets	0
3H	NAT	2	2	Kracht en beweging	D28, D29, D32, D33, D35	1	toets	0
3H	NAT	3	2	Energie	D28, D30, D31, D32, D33	1	toets	0
3H	NAT	4	3	Elektriciteit	D28, D32, D35	1	toets	0
3H	NAT	5	4	Straling	D28, D29, D32	1	toets	0
3H	NAT	6	4	Materialen	D28, D32	1	toets	0
3M	NAT	1	1	Krachten	D28, D29, D32, D33, D35	1	toets	0
3M	NAT	2	2	Elektriciteit	D28, D32, D35	1	toets	0
3M	NAT	3	2	Energie en Weer	D28, D30, D31, D32, D33	1	toets	0
3M	NAT	4	3	Licht	D28, D29, D32	1	toets	0
3M	NAT	5	4	Materie	D28, D32	1	toets	0
3M	NAT	6	4	Straling	D28, D29, D30, D31, D32, D35	1	toets	0
1A	NE	1	1	NieuwNederlands hoofdstuk 1	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1A	NE	2	2	NieuwNederlands hoofdstuk 2	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1A	NE	3	2	NieuwNederlands hoofdstuk 3	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1A	NE	4	3	NieuwNederlands hoofdstuk 4	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1A	NE	5	3	NieuwNederlands hoofdstuk 5	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1A	NE	6	4	NieuwNederlands hoofdstuk 6	kerndoelen SLO VO OB Nederlands: 1, 2, 3, 4, 5, 9 en 10	2	toets	0
1HA	NE	1	1	Leesvaardigheid H1, 2 en 3. (incl.Woordenschat H1 ,2 en 3)     	De leerling leert strategieën te gebruiken voor het uitbreiden van zijn woordenschat. /De leerling leert strategieën te gebruiken bij het verwerven van informatie uit geschreven teksten./De leerling leert  informatieve teksten te lezen die aan zijn belangstelling tegemoet komen en zijn belevingswereld uitbreiden.	2	toets	0
1HA	NE	2	2	Schrijfvaardigheid, een korte tekst schrijven (werkwoordspelling, hoofdletters, leestekens, Formuleren)	"De leerling leert zich schriftelijk begrijpelijk uit te drukken./ De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen,
woordgebruik) en leert het belang van die conventies te zien."	2	toets	0
1HA	NE	3	2	Grammatica: zinsdelen en woordsoorten	De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen, woordgebruik) en leert het belang van die conventies te zien.	2	toets	0
1HA	NE	4	3	Boekpresentatie	De leerling leert zich mondeling en schriftelijk begrijpelijk uit te drukken./ De leerling leert een mondelinge presentatie te geven./ De leerling leert taalactiviteiten (spreken, luisteren) planmatig voor te bereiden en uit te voeren./ De leerling leert verhalen te lezen die aan zijn belangstelling tegemoet komen en zijn belevingswereld uitbreiden.	2	PO	0
1HA	NE	5	3	Leesvaardigheid H4, 5 en 6. (incl.Woordenschat H4, 5 en 6)	De leerling leert strategieën te gebruiken voor het uitbreiden van zijn woordenschat. /De leerling leert strategieën te gebruiken bij het verwerven van informatie uit geschreven teksten./De leerling leert  informatieve teksten te lezen die aan zijn belangstelling tegemoet komen en zijn belevingswereld uitbreiden.	2	toets	0
1HA	NE	6	4	Schrijfvaardigheid, Flyer maken (Spelling en Formuleren)	De leerling leert zich schriftelijk begrijpelijk uit te drukken./ De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen, woordgebruik) en leert het belang van die conventies te zien.	1	PO	0
1MH	NE	1	1	Leesvaardigheid H1, 2 en 3. (incl.Woordenschat H1 ,2 en 3)     	Kerndoelen 3, 4, 5, 9 en 10	2	toets	0
1MH	NE	2	2	Schrijfvaardigheid, een korte tekst schrijven (werkwoordspelling, hoofdletters, leestekens, Formuleren)	Kerndoelen 1, 2, 9 en 10	2	toets	0
1MH	NE	3	2	Grammatica: zinsdelen en woordsoorten	Kerndoelen 2	2	toets	0
1MH	NE	4	3	Boekpresentatie	Kerndoelen 1, 5, 8, 9 en 10	1	PO	0
1MH	NE	5	3	Spelling en Formuleren H1 t/m H6	Kerndoelen 1, 2, 9 en 10	2	toets	0
1MH	NE	6	4	Leesvaardigheid H4, 5 en 6. (incl.Woordenschat H4, 5 en 6)	Kerndoelen 3, 4, 5, 9 en 10	2	toets	0
2A	NE	1	1	NieuwNederlands hoofdstuk 1	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2A	NE	2	2	NieuwNederlands hoofdstuk 2	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2A	NE	3	2	NieuwNederlands hoofdstuk 3	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2A	NE	4	3	NieuwNederlands hoofdstuk 4	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2A	NE	5	3	NieuwNederlands hoofdstuk 5	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2A	NE	6	4	NieuwNederlands hoofdstuk 6	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
2H	NE	1	1	Leesvaardigheid H1, 2 en 3.	De leerling leert strategieën te gebruiken voor het uitbreiden van zijn woordenschat. /De leerling leert strategieën te gebruiken bij het verwerven van informatie uit geschreven teksten./De leerling leert  informatieve teksten te lezen die aan zijn belangstelling tegemoet komen en zijn belevingswereld uitbreiden.	2	toets	0
2H	NE	2	2	Schrijfvaardigheid: een zakelijke e-mail  (Spelling, hoofdletters, leestekens, Formuleren)	"De leerling leert zich schriftelijk begrijpelijk uit te drukken./ De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen,
woordgebruik) en leert het belang van die conventies te zien."	2	toets	0
2H	NE	3	2	Grammatica: zinsdelen en woordsoorten	De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen, woordgebruik) en leert het belang van die conventies te zien.	2	toets	0
2H	NE	4	3	Een informerende presentatie	De leerling leert zich mondeling en schriftelijk begrijpelijk uit te drukken./ De leerling leert een mondelinge presentatie te geven./ De leerling leert taalactiviteiten (spreken, luisteren) planmatig voor te bereiden en uit te voeren./ De leerling leert in schriftelijke en digitale bronnen informatie te zoeken, te ordenen en te beoordelen op waarde voor hemzelf en anderen. 	2	PO	0
2H	NE	5	3	Leesvaardigheid H4, 5 en 6	De leerling leert strategieën te gebruiken voor het uitbreiden van zijn woordenschat. /De leerling leert strategieën te gebruiken bij het verwerven van informatie uit geschreven teksten./De leerling leert  informatieve teksten te lezen die aan zijn belangstelling tegemoet komen en zijn belevingswereld uitbreiden.	2	toets	0
2H	NE	6	4	Schrijfvaardigheid: een beoordeling schrijven over een leesboek  (Fictie, Spelling en Formuleren, Formuleren)	"De leerling leert zich schriftelijk begrijpelijk uit te drukken./ De leerling leert zich te houden aan conventies (spelling, grammaticaal correcte zinnen,woordgebruik) en leert het belang van die conventies te zien./  De leerling leert verhalen  te lezen die aan zijn
belangstelling tegemoet komen en zijn belevingswereld uitbreiden."	2	toets	0
2M	NE	1	1	  Leesvaardigheid/ Woordenschat Deel 1	KERNDOELEN: 1, 3, 4, 5, 8, 9 en 10	2	toets	0
2M	NE	2	2	Grammatica  zinsdelen en woordsoorten	KERNDOELEN: 2, 3, 6, 10	1	toets	0
2M	NE	3	2	Project 'Er was eens..' Schrijfvaardigheid (spellen/ formuleren) Leesvaardigheid, Spreekvaardigheid en Fictie	KERNDOELEN: 1, 2, 3, 4, 5, 6, 7, 8, 9 en 10	0	Handelingsdeel	0
2M	NE	4	3	Project 'Er was eens..' Schrijfvaardigheid (spellen/ formuleren) Leesvaardigheid, Spreekvaardigheid en Fictie	KERNDOELEN: 1, 2, 3, 4, 5, 6, 7, 8, 9 en 10	0	Handelingsdeel	0
2M	NE	5	4	Leesvaardigheid/ Woordenschat Deel 2	KERNDOELEN: 1,3,4,5,8,9 en 10	2	toets	0
2M	NE	6	4	Schrijfvaardigheid (brief/e-mail) 	KERNDOELEN: 1, 2, 3, 4, 5, 9 en 10	1	toets	0
3A	NE	1	1	NieuwNederlands hoofdstuk 1	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
3A	NE	2	2	NieuwNederlands hoofdstuk 2	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
3A	NE	3	2	NieuwNederlands hoofdstuk 3	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
3A	NE	4	3	NieuwNederlands hoofdstuk 4	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
3A	NE	5	3	NieuwNederlands hoofdstuk 5 en 6	kerndoelen SLO VO OB Nederlands 1, 2, 3, 4, 5, 9 en 10	2	toets	0
3A	NE	6	4	project Tralievader	kerndoelen SLO VO OB Nederlands 1, 4, 5, 6, 7, 8, 9 en 10	2	PO	Gs
3H	NE	1	1	onderdelen van spelling, grammatica en woordenschat & formuleren	kerndoelen 1, 2, 3	2	toets	0
3H	NE	2	2	lezen en argumenteren 	kerndoelen 1,2, 3	2	toets	0
3H	NE	3	2	betoog en argumenteren en spreken	kerndoelen  1, 2, 4, 5, 6, 7, 9, 10 	2	PO	0
3H	NE	4	3	delen van woordenschat	kerndoelen 1, 2, 4, 5	2	toets	0
3H	NE	5	4	fictie en presenteren	kerndoelen 1, 2, 7, 8, 9, 10	2	PO	0
3H	NE	6	4	lezen en argumenteren	kerndoelen 1, 2	2	toets	0
3M	NE	1	4	Fictie	kerndoelen 1, 2, 7, 8, 9, 10	2	PO	0
3M	NE	2	1	Leesvaardigheid en woordenschat	kerndoelen 1, 2, 3, 4, 5, 10	2	Toets	0
3M	NE	3	2	Kijken en luisteren	kerndoelen 4, 9	2	Toets	0
3M	NE	4	2	Schrijfvaardigheid, formuleren en spelling.	kerndoelen 1, 2, 3, 9, 10	2	Toets	0
3M	NE	5	3	Spreekvaardigheid	kerndoelen  1, 2, 4, 5, 6, 7, 9, 10	2	Handelingsdeel	0
3M	NE	6	4	Leesvaardigheid en woordenschat	kerndoelen 1, 2, 3, 4, 5, 10	2	Toets	0
1A	SK	1	0	0	0	0	0	0
1A	SK	2	0	0	0	0	0	0
1A	SK	3	0	0	0	0	0	0
1A	SK	4	0	0	0	0	0	0
1A	SK	5	0	0	0	0	0	0
1A	SK	6	0	0	0	0	0	0
1HA	SK	1	1	0	0	0	0	0
1HA	SK	2	0	0	0	0	0	0
1HA	SK	3	0	0	0	0	0	0
1HA	SK	4	0	0	0	0	0	0
1HA	SK	5	0	0	0	0	0	0
1HA	SK	6	0	0	0	0	0	0
1MH	SK	1	1	0	0	0	0	0
1MH	SK	2	0	0	0	0	0	0
1MH	SK	3	0	0	0	0	0	0
1MH	SK	4	0	0	0	0	0	0
1MH	SK	5	0	0	0	0	0	0
1MH	SK	6	0	0	0	0	0	0
2A	SK	1	1	0	0	0	0	0
2A	SK	2	0	0	0	0	0	0
2A	SK	3	0	0	0	0	0	0
2A	SK	4	0	0	0	0	0	0
2A	SK	5	0	0	0	0	0	0
2A	SK	6	0	0	0	0	0	0
2H	SK	1	1	0	0	0	0	0
2H	SK	2	0	0	0	0	0	0
2H	SK	3	0	0	0	0	0	0
2H	SK	4	0	0	0	0	0	0
2H	SK	5	0	0	0	0	0	0
2H	SK	6	0	0	0	0	0	0
2M	SK	1	1	0	0	0	0	0
2M	SK	2	0	0	0	0	0	0
2M	SK	3	0	0	0	0	0	0
2M	SK	4	0	0	0	0	0	0
2M	SK	5	0	0	0	0	0	0
2M	SK	6	0	0	0	0	0	0
3A	SK	1	1	PW H1 Scheikunde is overal	29 30 31 32	2	toets	0
3A	SK	2	2	PW H1 t/m 3 (Scheikunde is overal, scheidingsmethoden, bouwstenen van stoffen	29 32	2	toets	0
3A	SK	3	2	PO scheidingsmethoden	28 29 32	1	PO	0
3A	SK	4	3	SO reactievergelijkingen	32	1	toets	0
3A	SK	5	3	PW H4 en 5 (chemische reacties, reacties en energie,  basiskennis H1 t/m 3)	32	2	toets	0
3A	SK	6	4	PW H6 en 7 (chemische industrie, een indeling van stoffen)	29 30 31 32	2	toets	 
3H	SK	1	1	PW H1 Scheikunde is overal	29 30 31 32	2	toets	0
3H	SK	2	2	PW H1 t/m 3 (Scheikunde is overal, scheidingsmethoden, bouwstenen van stoffen	29 32	2	toets	0
3H	SK	3	2	PO scheidingsmethoden	28 29 32	1	PO	0
3H	SK	4	3	SO reactievergelijkingen	32	1	toets	0
3H	SK	5	3	PW H4 en 5 (chemische reacties, reacties en energie,  basiskennis H1 t/m 3)	32	2	toets	0
3H	SK	6	4	PW H6 en 7 (chemische industrie, een indeling van stoffen)	29 30 31 32	2	toets	0
3M	SK	1	1	H1	29 31 32	3	toets	0
3M	SK	2	1	H2 met basiskennis uit H1	29 31 32	2	toets	0
3M	SK	3	2	H2 en 3 met basiskennis uit H1	29 30 31 32	3	toets	0
3M	SK	4	3	H4 en 5 met basiskennis uit de vorige hoofdstukken	29 31 32	3	toets	0
3M	SK	5	4	H6 met basiskennis uit de vorige hoofdstukken	29 31 32	3	toets	0
3M	SK	6	4	PO scheikundige vaardigheden	28 29  	2	PO	0
1A	WI	1	1	Hoofdstuk 1 Geodriehoek en passer en Hoofdstuk 2 Ruimtefiguren en Hoofdstuk 3 Getallen	C 19, 20, 21, 22, 23, 26, 27	2	toets	0
1A	WI	2	1	Hoofdstuk 4 Grafieken en Hoofdstuk 5 Lijnen en hoeken	C 19, 20, 21, 23, 24,2 5, 26, 27	2	toets	0
1A	WI	3	2	Hoofdstuk 6 Verhoudingen en Hoofdstuk 7 Woordformules	C 19, 20, 21, 22, 23, 25, 27	2	toets	0
1A	WI	4	3	Hoofdstuk 8 Rekenen en                   Hoofdstuk 9 Negatieve getallen	C 19, 20, 21, 22, 27	2	toets	0
1A	WI	5	4	Hoofdstuk 10 Formules en vergelijkingen en Hoofdstuk 11 Oppervlakte en inhoud	C 19, 20, 21, 22, 23, 24, 25, 26, 27 = alles	2	po	0
1A	WI	6	4	Hoofdstuk 12 Rekenen met variabelen en Hoofdstuk 13 Vlakke figuren	C 19, 20, 21, 22, 23, 24, 25, 26, 27 = alles	2	toets	0
1HA	WI	1	1	Hoofdstuk 1 Geodriehoek en passer Hoofdstuk 2 Ruimtefiguren Hoofdstuk 3 Getallen	Kerndoelen 19, 20, 21, 22, 24, 26, 27	2	toets	0
